Order Id,order date (DateOrders),shipping date (DateOrders),Shipping Mode,Delivery Status,Late_delivery_risk,Order Status,Customer Id,Customer Segment,Customer Country,Market,Order Region,Category Name,Product Card Id,Order Item Quantity,Sales,Order Item Discount Rate,Benefit per order,Days for shipment (scheduled),Days for shipping (real),Order Item Profit Ratio,Product Description
1011,01/01/2022 20:00,01/08/2022 20:00,First Class,Shipping on time,0,PENDING,74450,Corporate,Germany,USCA,Europe,Books,5073,4,878.09,0.366,185.67,2,7,0.2114,Some desc
1012,01/01/2022 22:00,01/05/2022 22:00,Standard Class,Advance shipping,0,PROCESSING,85637,Consumer,,Pacific Asia,,,9030,3,202.18,0.225,7.11,4,4,0.0352,Some desc
1013,01/02/2022 00:00,01/05/2022 00:00,Same Day,Late delivery,0,PENDING,67533,Corporate,India,USCA,Europe,Furniture,4941,31,231.78,0.011,5.07,6,3,0.0219,
1014,01/02/2022 02:00,01/03/2022 02:00,Unknown,Late delivery,0,PENDING,64606,Consumer,Germany,LATAM,Africa,Electronics,6909,15,3121.12,0.065,1064.82,5,1,0.3412,Some desc
1015,01/02/2022 04:00,01/06/2022 04:00,Same Day,Late delivery,0,SUSPECTED_FRAUD,61781,Consumer,United States,LATAM,Pacific Asia,Electronics,7522,35,1356.64,0.095,-6.14,3,4,-0.0045,
1016,01/02/2022 06:00,01/04/2022 06:00,Second Class,Shipping canceled,0,PENDING,99414,Consumer,India,Pacific Asia,USCA,Clothing,9255,8,1627.91,0.282,569.38,4,2,0.3498,
1017,01/02/2022 08:00,01/08/2022 08:00,Standard Class,Advance shipping,0,COMPLETE,80310,Corporate,,Africa,Europe,Clothing,2168,6,1230.45,0.219,292.84,4,6,0.238,Some desc
1018,01/02/2022 10:00,01/09/2022 10:00,First Class,Shipping canceled,0,CANCELED,15414,Consumer,,LATAM,USCA,Furniture,9112,36,2505.39,0.046,505.41,3,7,0.2017,
1019,01/02/2022 12:00,01/05/2022 12:00,Second Class,Late delivery,0,CANCELED,79531,Corporate,France,Pacific Asia,Pacific Asia,Electronics,6128,11,1079.32,0.226,92.73,6,3,0.0859,
1020,01/02/2022 14:00,01/04/2022 14:00,First Class,Advance shipping,0,CANCELED,24842,Consumer,France,Pacific Asia,,Clothing,8346,3,31.24,0.391,9.28,6,2,0.2971,
1021,01/02/2022 16:00,01/05/2022 16:00,Standard Class,Late delivery,0,CLOSED,88322,Corporate,,Africa,,Sports,2687,-10,9352.43,0.198,2936.89,6,3,0.314,
1022,01/02/2022 18:00,01/05/2022 18:00,Second Class,Shipping canceled,0,COMPLETE,39200,Corporate,United States,Africa,Africa,Furniture,1267,35,4897.27,0.067,1169.24,4,3,0.2388,Some desc
1023,01/02/2022 20:00,01/07/2022 20:00,Standard Class,Late delivery,0,PENDING,72386,Consumer,United States,LATAM,,Clothing,943,46,12183.94,0.26,2850.5,5,5,0.234,
1024,01/02/2022 22:00,01/04/2022 22:00,Same Day,Shipping on time,1,COMPLETE,76490,Consumer,United States,Europe,,Sports,3894,30,5530.63,0.418,814.45,5,2,0.1473,Some desc
1025,01/03/2022 00:00,01/10/2022 00:00,First Class,Advance shipping,0,SUSPECTED_FRAUD,42028,Corporate,France,,,Books,5572,24,4321.29,0.052,-81.53,5,7,-0.0189,
1026,01/03/2022 02:00,01/08/2022 02:00,Second Class,Shipping on time,0,PENDING,96710,Consumer,United States,,LATAM,Electronics,2950,33,483.37,0.07,168.99,2,5,0.3496,
1027,01/03/2022 04:00,01/04/2022 04:00,Second Class,Shipping on time,0,CANCELED,57220,Corporate,United States,Pacific Asia,USCA,Electronics,2758,-9,4749.91,0.255,-207.94,6,1,-0.0438,
1028,01/03/2022 06:00,01/06/2022 06:00,Standard Class,Late delivery,0,PENDING,48043,Home Office,India,Pacific Asia,USCA,Clothing,8178,31,4353.67,0.153,645.04,6,3,0.1482,
1029,01/03/2022 08:00,01/08/2022 08:00,Standard Class,Shipping on time,0,CANCELED,54153,Consumer,,Europe,USCA,Clothing,7451,16,1620.88,0.403,156.99,5,5,0.0969,
1030,01/03/2022 10:00,01/07/2022 10:00,Standard Class,Late delivery,0,COMPLETE,37703,Home Office,India,USCA,USCA,Furniture,6379,44,14249.36,0.321,3711.29,4,4,0.2605,
1031,01/03/2022 12:00,01/07/2022 12:00,Same Day,Shipping on time,0,COMPLETE,19707,Corporate,Germany,Africa,Africa,Sports,6538,35,2826.38,0.066,690.52,4,4,0.2443,Some desc
1032,01/03/2022 14:00,01/04/2022 14:00,Second Class,Shipping canceled,0,PENDING,98343,Corporate,Germany,Pacific Asia,USCA,Sports,8477,43,3625.65,0.392,729.55,3,1,0.2012,
1033,01/03/2022 16:00,01/06/2022 16:00,Second Class,Shipping on time,0,PENDING,83056,Consumer,Brazil,Europe,Africa,Clothing,2320,28,8302.43,0.289,-166.92,2,3,-0.0201,
1034,01/03/2022 18:00,01/08/2022 18:00,Second Class,Advance shipping,0,PENDING,83285,Corporate,United States,Europe,USCA,Furniture,9402,23,8284.03,0.222,370.63,6,5,0.0447,Some desc
1035,01/03/2022 20:00,01/09/2022 20:00,Same Day,Late delivery,0,PENDING,92155,Corporate,Brazil,USCA,Pacific Asia,Books,8628,42,8801.86,0.115,-108.59,3,6,-0.0123,
1036,01/03/2022 22:00,01/07/2022 22:00,Second Class,Shipping on time,1,PROCESSING,65080,Consumer,Germany,LATAM,,Sports,3505,30,5784.08,0.292,1975.79,3,4,0.3416,
1037,01/04/2022 00:00,01/08/2022 00:00,Same Day,Shipping on time,0,CLOSED,98595,Corporate,India,,Europe,,3534,39,724.28,0.404,0.81,4,4,0.0011,Some desc
1038,01/04/2022 02:00,01/06/2022 02:00,First Class,Shipping on time,1,COMPLETE,98673,Corporate,India,Africa,USCA,Furniture,1926,44,17516.19,0.017,5900.8,5,2,0.3369,
1039,01/04/2022 04:00,01/10/2022 04:00,Same Day,Late delivery,1,SUSPECTED_FRAUD,32316,Corporate,Brazil,Africa,USCA,,7118,14,3482.17,0.169,-17.12,3,6,-0.0049,
1040,01/04/2022 06:00,01/09/2022 06:00,Second Class,Late delivery,0,CANCELED,49644,Corporate,United States,USCA,Africa,Furniture,3108,10,1401.82,0.421,413.39,3,5,0.2949,Some desc
1041,01/04/2022 08:00,01/10/2022 08:00,Same Day,Late delivery,1,CLOSED,18607,Corporate,India,USCA,USCA,Furniture,2746,-7,1025.2,0.172,184.38,3,6,0.1798,
1042,01/04/2022 10:00,01/09/2022 10:00,Second Class,Advance shipping,0,CANCELED,73200,Home Office,Brazil,,Pacific Asia,Furniture,6754,30,6632.26,0.016,1874.88,3,5,0.2827,Some desc
1043,01/04/2022 12:00,01/11/2022 12:00,First Class,Shipping on time,0,PENDING,19993,Consumer,United States,USCA,LATAM,Clothing,2046,40,14080.28,0.046,2866.94,2,7,0.2036,
1044,01/04/2022 14:00,01/11/2022 14:00,Second Class,Shipping on time,0,CLOSED,78678,Home Office,United States,,Europe,Electronics,1218,48,1487.58,0.311,383.1,3,7,0.2575,Some desc
1045,01/04/2022 16:00,01/10/2022 16:00,Second Class,Late delivery,0,COMPLETE,82385,Corporate,India,Africa,Europe,Electronics,8615,2,350.54,0.315,84.94,4,6,0.2423,
1046,01/04/2022 18:00,01/07/2022 18:00,First Class,Shipping on time,0,PROCESSING,47013,Corporate,India,LATAM,USCA,,492,1,21.0,0.052,1.14,4,3,0.0543,
1047,01/04/2022 20:00,01/05/2022 20:00,Same Day,Late delivery,0,CLOSED,66856,Consumer,Germany,Africa,Europe,Furniture,9193,34,11863.63,2.101,3844.05,3,1,0.324,
1048,01/04/2022 22:00,01/05/2022 22:00,Second Class,Late delivery,0,PROCESSING,95421,Consumer,India,USCA,LATAM,Furniture,6866,14,1143.1,0.254,237.15,6,1,0.2075,
1049,01/05/2022 00:00,01/11/2022 00:00,Same Day,Late delivery,0,COMPLETE,78050,Home Office,Germany,Pacific Asia,,Books,3584,24,7498.95,0.309,231.22,3,6,0.0308,Some desc
1050,01/05/2022 02:00,01/12/2022 02:00,Same Day,Late delivery,1,COMPLETE,49663,Consumer,,Europe,LATAM,Furniture,5685,4,894.33,0.071,64.76,6,7,0.0724,Some desc
1051,01/05/2022 04:00,01/10/2022 04:00,First Class,Shipping on time,0,CLOSED,91466,Corporate,Germany,USCA,USCA,,3217,4,735.69,0.205,120.08,5,5,0.1632,
1052,01/05/2022 06:00,01/11/2022 06:00,Second Class,Shipping on time,1,COMPLETE,13603,Corporate,Brazil,Europe,Europe,Electronics,4148,26,3561.41,0.253,1078.15,5,6,0.3027,Some desc
1053,01/05/2022 08:00,01/06/2022 08:00,Standard Class,Advance shipping,1,SUSPECTED_FRAUD,30364,Corporate,United States,Africa,Europe,Clothing,7054,34,8665.47,0.022,2328.42,3,1,0.2687,Some desc
1054,01/05/2022 10:00,01/09/2022 10:00,Same Day,Advance shipping,0,COMPLETE,39479,Consumer,India,Pacific Asia,LATAM,Furniture,9099,44,6816.29,0.101,482.72,6,4,0.0708,
1055,01/05/2022 12:00,01/10/2022 12:00,Same Day,Late delivery,0,CANCELED,42767,Consumer,United States,Pacific Asia,Africa,Sports,2350,24,2575.96,0.414,580.61,4,5,0.2254,Some desc
1056,01/05/2022 14:00,01/07/2022 14:00,First Class,Advance shipping,0,CLOSED,70501,Corporate,France,LATAM,LATAM,Clothing,5381,32,1968.17,0.396,-97.1,4,2,-0.0493,
1057,01/05/2022 16:00,01/11/2022 16:00,First Class,Late delivery,0,PENDING,81312,Home Office,Germany,,USCA,,8654,43,6466.23,0.145,537.06,3,6,0.0831,
1058,01/05/2022 18:00,01/08/2022 18:00,First Class,Late delivery,0,COMPLETE,14790,Corporate,Brazil,Europe,Europe,Sports,239,22,5450.31,0.391,1557.91,4,3,0.2858,Some desc
1059,01/05/2022 20:00,01/07/2022 20:00,Second Class,Shipping canceled,0,PENDING,33345,Corporate,,LATAM,,Sports,184,11,995.87,0.285,10.44,5,2,0.0105,
1060,01/05/2022 22:00,01/10/2022 22:00,Standard Class,Shipping canceled,0,COMPLETE,83613,Corporate,Brazil,Pacific Asia,Africa,Sports,6186,41,9414.98,0.442,860.13,6,5,0.0914,Some desc
1061,01/06/2022 00:00,01/10/2022 00:00,Second Class,Advance shipping,0,CANCELED,55543,Corporate,India,Africa,,,1506,1,243.71,0.435,-12.08,6,4,-0.0496,
1062,01/06/2022 02:00,01/10/2022 02:00,Standard Class,Shipping on time,0,PENDING,37911,Home Office,Brazil,Pacific Asia,Pacific Asia,Books,9930,14,3384.56,0.278,-137.91,2,4,-0.0407,
1063,01/06/2022 04:00,01/10/2022 04:00,Second Class,Late delivery,0,COMPLETE,49910,Home Office,United States,USCA,Pacific Asia,Clothing,1294,7,111.51,0.211,0.94,2,4,0.0084,
1064,01/06/2022 06:00,01/11/2022 06:00,Standard Class,Late delivery,0,COMPLETE,64533,Corporate,Brazil,LATAM,Europe,Electronics,7408,32,8467.73,0.064,-78.37,6,5,-0.0093,
1065,01/06/2022 08:00,01/09/2022 08:00,Standard Class,Late delivery,0,SUSPECTED_FRAUD,63576,Consumer,France,Europe,Europe,Sports,3246,14,4447.09,0.239,648.79,6,3,0.1459,
1066,01/06/2022 10:00,01/12/2022 10:00,Second Class,Shipping on time,0,PENDING,84630,Consumer,Germany,,,Books,9245,17,2596.84,0.179,805.02,2,6,0.31,
1067,01/06/2022 12:00,01/13/2022 12:00,Express,Late delivery,0,CANCELED,98937,Home Office,Brazil,Europe,Pacific Asia,Electronics,8673,32,3289.76,0.291,-53.11,6,7,-0.0161,Some desc
1068,01/06/2022 14:00,01/10/2022 14:00,First Class,Shipping on time,1,CLOSED,82713,Consumer,France,Pacific Asia,USCA,Furniture,8003,15,2362.75,0.04,703.95,5,4,0.2979,
1069,01/06/2022 16:00,01/08/2022 16:00,Same Day,Late delivery,0,CLOSED,19334,Consumer,France,USCA,Europe,Clothing,6435,18,2408.37,0.376,523.25,6,2,0.2173,
1070,01/06/2022 18:00,01/08/2022 18:00,Standard Class,Late delivery,0,SUSPECTED_FRAUD,47942,Consumer,France,Pacific Asia,Europe,,2239,25,561.19,0.435,9.85,2,2,0.0176,
1071,01/06/2022 20:00,01/12/2022 20:00,First Class,Late delivery,0,PROCESSING,53617,Home Office,France,Europe,Africa,Electronics,1163,6,666.73,0.094,43.93,6,6,0.0659,
1072,01/06/2022 22:00,01/08/2022 22:00,Second Class,Shipping canceled,0,CANCELED,66646,Home Office,India,,Pacific Asia,Books,2694,46,10696.81,0.285,296.02,3,2,0.0277,
1073,01/07/2022 00:00,01/13/2022 00:00,Same Day,Late delivery,0,PENDING,96307,Home Office,France,Africa,LATAM,Clothing,881,49,7479.57,0.361,1987.47,4,6,0.2657,
1074,01/07/2022 02:00,01/12/2022 02:00,Same Day,Shipping on time,0,SUSPECTED_FRAUD,50221,Home Office,,USCA,Europe,Sports,7870,35,3349.5,0.249,804.01,3,5,0.24,Some desc
1075,01/07/2022 04:00,01/11/2022 04:00,First Class,Shipping canceled,0,COMPLETE,41308,Corporate,Brazil,,USCA,Books,2955,6,1618.15,0.421,116.12,2,4,0.0718,
1076,01/07/2022 06:00,01/08/2022 06:00,Same Day,Advance shipping,1,CANCELED,90997,Consumer,France,Pacific Asia,Africa,Sports,4457,24,2795.84,0.23,-79.03,5,1,-0.0283,
1077,01/07/2022 08:00,01/11/2022 08:00,Same Day,Advance shipping,0,CANCELED,76653,Home Office,United States,Pacific Asia,Pacific Asia,Sports,6235,18,1090.63,0.122,19.08,2,4,0.0175,
1078,01/07/2022 10:00,01/12/2022 10:00,First Class,Advance shipping,0,SUSPECTED_FRAUD,51283,Home Office,France,LATAM,LATAM,Sports,7045,-2,735.3,0.212,148.49,4,5,0.2019,
1079,01/07/2022 12:00,01/09/2022 12:00,Second Class,Advance shipping,0,COMPLETE,93633,Consumer,United States,,USCA,Electronics,5977,43,5091.71,0.22,-70.52,2,2,-0.0138,
1080,01/07/2022 14:00,01/13/2022 14:00,First Class,Late delivery,0,PENDING,37237,Home Office,Germany,,Europe,Clothing,7384,21,4905.84,0.114,807.43,6,6,0.1646,Some desc
1081,01/07/2022 16:00,01/09/2022 16:00,Standard Class,Late delivery,1,COMPLETE,31654,Corporate,,Europe,Africa,Furniture,1230,32,782.02,0.354,152.63,4,2,0.1952,
1082,01/07/2022 18:00,01/10/2022 18:00,Same Day,Late delivery,0,PENDING,11927,Corporate,,Africa,Africa,Books,2871,34,10511.45,0.278,2366.14,2,3,0.2251,Some desc
1083,01/07/2022 20:00,01/11/2022 20:00,First Class,Late delivery,1,SUSPECTED_FRAUD,17324,Corporate,Germany,Pacific Asia,Africa,,7631,16,5855.66,0.167,0.83,6,4,0.0001,
1084,01/07/2022 22:00,01/13/2022 22:00,Economy,Shipping on time,0,COMPLETE,87806,Consumer,France,Pacific Asia,Africa,Clothing,7208,18,2370.42,0.19,317.36,5,6,0.1339,
1085,01/08/2022 00:00,01/10/2022 00:00,Standard Class,Late delivery,0,PROCESSING,16812,Corporate,,,LATAM,Sports,6358,48,15544.98,0.167,2104.15,2,2,0.1354,Some desc
1086,01/08/2022 02:00,01/11/2022 02:00,First Class,Advance shipping,1,SUSPECTED_FRAUD,78833,Consumer,Brazil,USCA,Pacific Asia,,9405,41,9875.93,0.202,2805.88,3,3,0.2841,
1087,01/08/2022 04:00,01/14/2022 04:00,Second Class,Shipping on time,0,COMPLETE,16569,Corporate,Germany,Africa,Pacific Asia,Electronics,9831,25,8067.48,2.058,1109.17,4,6,0.1375,
1088,01/08/2022 06:00,01/11/2022 06:00,First Class,Late delivery,0,CLOSED,30723,Consumer,Brazil,Europe,USCA,,930,27,3265.03,0.149,368.03,5,3,0.1127,
1089,01/08/2022 08:00,01/13/2022 08:00,First Class,Late delivery,0,SUSPECTED_FRAUD,41546,Corporate,India,USCA,Africa,Books,5570,1,194.07,0.368,-0.12,6,5,-0.0006,Some desc
1090,01/08/2022 10:00,01/11/2022 10:00,Standard Class,Advance shipping,0,PROCESSING,29329,Consumer,,Europe,Pacific Asia,Books,9015,11,262.35,0.418,59.76,6,3,0.2278,
1091,01/08/2022 12:00,01/09/2022 12:00,Express,Late delivery,0,COMPLETE,21359,Corporate,France,,Africa,Electronics,3340,1,7.41,0.235,1.47,2,1,0.1984,Some desc
1092,01/08/2022 14:00,01/12/2022 14:00,First Class,Advance shipping,0,SUSPECTED_FRAUD,98977,Corporate,Germany,Pacific Asia,USCA,Furniture,683,40,11913.06,0.32,2820.77,4,4,0.2368,Some desc
1093,01/08/2022 16:00,01/11/2022 16:00,First Class,Late delivery,0,PROCESSING,46451,Consumer,United States,Pacific Asia,Africa,Electronics,1281,47,4117.9,0.419,875.11,2,3,0.2125,
1094,01/08/2022 18:00,01/10/2022 18:00,First Class,Late delivery,1,PENDING,48076,Consumer,,Pacific Asia,LATAM,,7250,8,1648.71,0.086,494.8,3,2,0.3001,Some desc
1095,01/08/2022 20:00,01/15/2022 20:00,Same Day,Advance shipping,0,CLOSED,77870,Corporate,United States,,Europe,Electronics,9198,14,1533.74,0.085,461.56,3,7,0.3009,
1096,01/08/2022 22:00,01/14/2022 22:00,Standard Class,Late delivery,0,PENDING,92258,Consumer,France,Europe,USCA,Books,7100,18,7641.58,0.033,558.4,3,6,0.0731,
1097,01/09/2022 00:00,01/11/2022 00:00,Standard Class,Advance shipping,0,CANCELED,36840,Consumer,India,Europe,Europe,Electronics,472,40,6258.69,0.199,143.73,3,2,0.023,
1098,01/09/2022 02:00,01/13/2022 02:00,First Class,Shipping on time,0,PROCESSING,50790,Corporate,Brazil,Africa,Pacific Asia,Electronics,4185,20,1594.09,0.149,511.05,4,4,0.3206,Some desc
1099,01/09/2022 04:00,01/15/2022 04:00,First Class,Late delivery,0,PROCESSING,53147,Corporate,Germany,,Europe,Furniture,3552,3,686.57,0.252,161.49,4,6,0.2352,
1100,01/09/2022 06:00,01/10/2022 06:00,Same Day,Late delivery,0,SUSPECTED_FRAUD,33460,Corporate,United States,LATAM,USCA,Books,9126,29,2466.16,0.203,834.53,6,1,0.3384,
1101,01/09/2022 08:00,01/10/2022 08:00,Same Day,Shipping canceled,0,COMPLETE,21463,Consumer,,Pacific Asia,Europe,Clothing,5353,8,980.1,0.086,145.82,4,1,0.1488,Some desc
1102,01/09/2022 10:00,01/13/2022 10:00,Standard Class,Late delivery,0,SUSPECTED_FRAUD,92892,Home Office,Germany,LATAM,Africa,Clothing,2424,32,8913.18,0.176,2985.0,2,4,0.3349,
1103,01/09/2022 12:00,01/16/2022 12:00,First Class,Advance shipping,0,SUSPECTED_FRAUD,72845,Corporate,India,,Africa,Electronics,5740,42,19890.04,0.013,-18.15,4,7,-0.0009,
1104,01/09/2022 14:00,01/16/2022 14:00,First Class,Advance shipping,0,CLOSED,71121,Corporate,,Europe,Africa,Clothing,7511,4,1148.01,0.242,213.7,3,7,0.1861,
1105,01/09/2022 16:00,01/13/2022 16:00,Same Day,Late delivery,0,COMPLETE,38590,Home Office,India,Africa,Pacific Asia,Books,5864,49,2858.81,0.122,425.09,2,4,0.1487,Some desc
1106,01/09/2022 18:00,01/14/2022 18:00,Standard Class,Shipping on time,0,PENDING,69440,Consumer,,LATAM,,Furniture,4233,33,769995.76,0.051,-244.81,5,5,-0.0489,Some desc
1107,01/09/2022 20:00,01/13/2022 20:00,Second Class,Advance shipping,0,SUSPECTED_FRAUD,22170,Home Office,India,,,,7198,3,1161.67,0.03,31.55,5,4,0.0272,
1108,01/09/2022 22:00,01/16/2022 22:00,First Class,Late delivery,0,COMPLETE,20627,Home Office,Brazil,Europe,Africa,Electronics,3111,11,1053.07,0.322,11.99,3,7,0.0114,
1109,01/10/2022 00:00,01/14/2022 00:00,Standard Class,Late delivery,1,COMPLETE,95919,Corporate,,Pacific Asia,Europe,Electronics,1370,9,2971.01,0.111,-76.28,3,4,-0.0257,Some desc
1110,01/10/2022 02:00,01/17/2022 02:00,Same Day,Shipping on time,1,COMPLETE,30581,Consumer,India,Europe,USCA,Clothing,8638,44,7389.02,0.296,2432.91,4,7,0.3293,Some desc
1111,01/10/2022 04:00,01/13/2022 04:00,Same Day,Shipping canceled,1,PENDING,79265,Consumer,Germany,Africa,Africa,Furniture,7220,36,10090.07,0.367,3391.75,4,3,0.3361,
1112,01/10/2022 06:00,01/17/2022 06:00,Standard Class,Late delivery,0,PROCESSING,35035,Consumer,Brazil,LATAM,USCA,Electronics,7337,19,2691.44,0.225,825.46,6,7,0.3067,Some desc
1113,01/10/2022 08:00,01/16/2022 08:00,Unknown,Late delivery,0,COMPLETE,68708,Corporate,India,USCA,Europe,Sports,8905,26,11428.39,0.06,3949.11,2,6,0.3456,
1114,01/10/2022 10:00,01/16/2022 10:00,Same Day,Advance shipping,0,SUSPECTED_FRAUD,65084,Home Office,Germany,,LATAM,Electronics,7160,18,2689.73,0.277,759.22,2,6,0.2823,Some desc
1115,01/10/2022 12:00,01/11/2022 12:00,Standard Class,Shipping on time,0,CLOSED,75069,Corporate,Brazil,LATAM,LATAM,,401,20,7056.53,0.032,2278.36,5,1,0.3229,
1116,01/10/2022 14:00,01/16/2022 14:00,Same Day,Shipping canceled,0,CANCELED,95835,Corporate,India,LATAM,Pacific Asia,Books,8449,32,2055.16,0.368,59.71,6,6,0.0291,
1117,01/10/2022 16:00,01/12/2022 16:00,First Class,Advance shipping,0,CANCELED,48293,Consumer,Brazil,Africa,USCA,Clothing,454,10,1759.05,0.343,92.8,5,2,0.0528,Some desc
1118,01/10/2022 18:00,01/17/2022 18:00,Same Day,Shipping on time,0,PROCESSING,87931,Home Office,Brazil,LATAM,Africa,Clothing,6958,38,4933.46,0.181,1454.51,3,7,0.2948,Some desc
1119,01/10/2022 20:00,01/12/2022 20:00,Standard Class,Advance shipping,0,CANCELED,36849,Home Office,India,Europe,Africa,Clothing,9913,47,466.84,0.121,66.19,3,2,0.1418,
1120,01/10/2022 22:00,01/16/2022 22:00,Same Day,Late delivery,0,COMPLETE,96735,Consumer,India,Pacific Asia,LATAM,Furniture,4089,48,7238.76,0.319,1714.06,6,6,0.2368,
1121,01/11/2022 00:00,01/16/2022 00:00,First Class,Late delivery,0,PROCESSING,54998,Consumer,,,Europe,Clothing,3187,9,606.06,0.255,105.92,5,5,0.1748,
1122,01/11/2022 02:00,01/14/2022 02:00,Same Day,Shipping on time,0,COMPLETE,85969,Home Office,United States,USCA,Africa,Furniture,9285,21,9414.98,0.065,680.28,4,3,0.0723,Some desc
1123,01/11/2022 04:00,01/18/2022 04:00,First Class,Shipping on time,1,CANCELED,84272,Corporate,Brazil,Pacific Asia,Europe,Furniture,4604,13,3466.51,0.342,221.63,4,7,0.0639,Some desc
1124,01/11/2022 06:00,01/14/2022 06:00,First Class,Shipping canceled,0,SUSPECTED_FRAUD,67112,Corporate,France,USCA,LATAM,Furniture,9227,32,10092.83,0.15,2515.86,2,3,0.2493,Some desc
1125,01/11/2022 08:00,01/12/2022 08:00,First Class,Shipping on time,0,CANCELED,96740,Corporate,Germany,Africa,Pacific Asia,Electronics,3169,16,2194.9,0.402,357.41,6,1,0.1628,Some desc
1126,01/11/2022 10:00,01/12/2022 10:00,Economy,Shipping canceled,1,CLOSED,70776,Corporate,France,Africa,Africa,Electronics,1924,20,1671.08,0.373,156.67,2,1,0.0938,
1127,01/11/2022 12:00,01/17/2022 12:00,Standard Class,Late delivery,0,PENDING,64474,Home Office,France,LATAM,Africa,Books,5608,7,1015.21,0.124,199.81,6,6,0.1968,
1128,01/11/2022 14:00,01/14/2022 14:00,Same Day,Shipping canceled,0,PROCESSING,32783,Corporate,,Pacific Asia,Europe,Books,3783,28,2630.64,0.115,310.35,2,3,0.118,
1129,01/11/2022 16:00,01/17/2022 16:00,Same Day,Late delivery,0,CANCELED,43871,Home Office,France,USCA,LATAM,,7142,27,6166.42,0.179,863.48,2,6,0.14,Some desc
1130,01/11/2022 18:00,01/12/2022 18:00,First Class,Shipping canceled,0,PROCESSING,10554,Corporate,United States,USCA,USCA,,3055,28,7263.15,0.362,1606.35,2,1,0.2212,
1131,01/11/2022 20:00,01/12/2022 20:00,Same Day,Advance shipping,0,SUSPECTED_FRAUD,74637,Consumer,Brazil,Africa,Pacific Asia,Sports,7622,17,1564.03,0.059,208.31,4,1,0.1332,Some desc
1132,01/11/2022 22:00,01/18/2022 22:00,First Class,Late delivery,0,CANCELED,64613,Consumer,Brazil,Europe,Africa,Electronics,3606,38,236.38,0.142,78.0,2,7,0.33,Some desc
1133,01/12/2022 00:00,01/14/2022 00:00,Standard Class,Late delivery,0,CLOSED,72735,Home Office,,,LATAM,Furniture,3617,30,1416.83,0.297,204.13,3,2,0.1441,Some desc
1134,01/12/2022 02:00,01/17/2022 02:00,First Class,Shipping on time,0,CANCELED,66582,Corporate,United States,Pacific Asia,USCA,Sports,7125,9,2066.96,0.015,691.87,5,5,0.3347,Some desc
1135,01/12/2022 04:00,01/15/2022 04:00,Same Day,Late delivery,0,CLOSED,32271,Home Office,India,Pacific Asia,Pacific Asia,Clothing,2679,19,263.24,0.025,76.1,5,3,0.2891,
1136,01/12/2022 06:00,01/16/2022 06:00,Second Class,Shipping on time,0,PENDING,99994,Consumer,India,Africa,Europe,Sports,2927,33,4436.37,0.343,1359.17,3,4,0.3064,
1137,01/12/2022 08:00,01/13/2022 08:00,Same Day,Late delivery,0,CLOSED,49195,Home Office,France,,Africa,Electronics,5511,6,275.49,0.235,70.34,2,1,0.2553,
